Date,Open,High,Low,Close,Volume
9/23/2015 15:30:00,55600,56000,53500,53500,243699
9/24/2015 15:30:00,53600,53900,51700,53500,333337
9/25/2015 15:30:00,53500,53500,52000,53500,156391
9/30/2015 15:30:00,52900,52900,51700,52200,138207
10/1/2015 15:30:00,52100,52900,51500,52200,164793
10/2/2015 15:30:00,52200,52900,51500,51600,134350
10/5/2015 15:30:00,52200,53300,51800,53200,191838
10/6/2015 15:30:00,53700,53700,52500,52500,142675
10/7/2015 15:30:00,52400,53000,51000,51400,231076
10/8/2015 15:30:00,52000,52100,50000,50500,208232
10/12/2015 15:30:00,50200,51300,50200,50600,132838
10/13/2015 15:30:00,50500,50500,48100,48800,336282
10/14/2015 15:30:00,48800,48800,47750,48000,177644
10/15/2015 15:30:00,48100,48900,48100,48500,99463
10/16/2015 15:30:00,48750,50100,48750,49500,156024
10/19/2015 15:30:00,49750,50000,48550,48650,138622
10/20/2015 15:30:00,49000,49800,48550,49300,117920
10/21/2015 15:30:00,49550,49650,47950,48000,183369
10/22/2015 15:30:00,48000,48000,45900,46200,278886
10/23/2015 15:30:00,46500,47450,45950,47000,259400
10/26/2015 15:30:00,47350,47900,46700,46800,182557
10/27/2015 15:30:00,46850,48300,46750,47600,198437
10/28/2015 15:30:00,47650,47900,46800,47300,150874
10/29/2015 15:30:00,47400,47750,46050,46250,220641
10/30/2015 15:30:00,45800,46650,45150,45450,210117
11/2/2015 15:30:00,46000,46650,45700,45700,191478
11/3/2015 15:30:00,46000,47800,46000,47650,245820
11/4/2015 15:30:00,48000,48500,47700,48000,184540
11/5/2015 15:30:00,47550,48300,47400,47600,123760
11/6/2015 15:30:00,47500,48600,47100,48250,145458
11/9/2015 15:30:00,48300,49100,46000,46250,225998
11/10/2015 15:30:00,45700,46200,43000,43900,336017
11/11/2015 15:30:00,43900,44400,43600,44350,128187
11/12/2015 15:30:00,44250,44300,43600,43700,82418
11/13/2015 15:30:00,43000,44450,42650,44450,87909
11/16/2015 15:30:00,43050,43500,40100,40550,481890
11/17/2015 15:30:00,40600,41400,40600,41050,183017
11/18/2015 15:30:00,41150,42950,41100,42300,173879
11/19/2015 15:30:00,42300,43100,41950,43000,139467
11/20/2015 15:30:00,43000,43500,42500,43350,97520
11/23/2015 15:30:00,43350,43800,42400,43500,100098
11/24/2015 15:30:00,44150,46250,44150,45200,369444
11/25/2015 15:30:00,46050,46150,44600,45500,215799
11/26/2015 15:30:00,45750,45800,45050,45450,104703
11/27/2015 15:30:00,45800,47050,45700,46800,237342
11/30/2015 15:30:00,47300,47300,46250,46500,145156
12/1/2015 15:30:00,47300,47800,46000,46500,213374
12/2/2015 15:30:00,47500,49150,47100,47550,810495
12/3/2015 15:30:00,48250,48350,46000,46300,267355
12/4/2015 15:30:00,46200,46200,45000,45050,151621
12/7/2015 15:30:00,45000,45750,44000,44000,205621
12/8/2015 15:30:00,43250,44400,42150,42550,228926
12/9/2015 15:30:00,41150,43950,41150,43700,192648
12/10/2015 15:30:00,44000,44000,42400,42400,103538
12/11/2015 15:30:00,42400,43600,42400,42550,89495
12/14/2015 15:30:00,41750,41950,41000,41150,99779
12/15/2015 15:30:00,40750,42200,40500,41700,93973
12/16/2015 15:30:00,42800,43450,42500,43200,87563
12/17/2015 15:30:00,44100,44300,43550,44050,99231
12/18/2015 15:30:00,43700,44750,43450,44550,77334
12/21/2015 15:30:00,44550,44650,43800,44450,59827
12/22/2015 15:30:00,44300,44450,43150,43950,84751
12/23/2015 15:30:00,44000,44100,43050,43150,97285
12/24/2015 15:30:00,43200,43950,42550,42700,55959
12/28/2015 15:30:00,42250,43250,42000,42500,62050
12/29/2015 15:30:00,42100,44350,42100,44300,139035
12/30/2015 15:30:00,44300,44700,43750,44550,59976
1/4/2016 15:30:00,44450,44450,42850,42900,87676
1/5/2016 15:30:00,42300,43600,42200,43050,79097
1/6/2016 15:30:00,43000,43250,42000,42300,94564
1/7/2016 15:30:00,42300,42550,41450,41550,107735
1/8/2016 15:30:00,41600,42350,41550,42050,117062
1/11/2016 15:30:00,41700,42100,41550,41550,70033
1/12/2016 15:30:00,41600,41750,40650,40650,114157
1/13/2016 15:30:00,40800,42300,40800,42000,110484
1/14/2016 15:30:00,41000,41550,41000,41400,87600
1/15/2016 15:30:00,41600,42300,41500,41850,88856
